Hierarchy,Title,Project,Releases,Team,Assignee,Reporter,Sprint,Target start date,Target end date,Due date,Estimates (d),Parent,Priority,Labels,Components,Issue key,Issue status,Progress (%),Progress completed (d),Progress remaining (d),Progress (%) issue count (IC),To do IC,In progress IC,Done IC,Total IC,Start date (roll-up),Start date
Epic,Add theme support,Lynx,v2.1,Nova Squad,Riley Quinn,Jordan Blake,Sprint 18,,,18/Jan/26,8,,Medium,"API,Backend",Frontend,Nebula-1001,Done,8,3,12,100,3,3,2,8,,30/Oct/24
Epic,Refactor chat module,Helix,v3.8,Delta Force,Taylor Cruz,Jamie Fox,Sprint 9,,13/Jun/26,05/Aug/25,15,,Low,UI,Database,Apollo-1002,To Do,7,2,13,18,2,3,2,7,23/Aug/24,
Epic,Update reporting support,Nebula,v2.3,Alpha Team,Taylor Cruz,Taylor Cruz,Sprint 12,11/Dec/25,22/Jan/26,17/Nov/24,13,,High,"Backend,Performance",Database,Nebula-1011,To Do,8,1,14,10,3,3,2,8,03/Apr/25,24/Jan/26
Epic,Fix theme layout,Helix,v1.8,Zeta Group,Riley Quinn,Riley Quinn,Sprint 6,09/Aug/25,28/Feb/26,16/Sep/25,8,,Medium,"API,Performance","Analytics,Notifications",Apollo-1015,To Do,5,3,12,25,1,3,1,5,09/Feb/26,
Epic,Refactor dashboard module,Helix,v5.0,Alpha Team,Alex Hunter,Riley Quinn,Sprint 3,01/Jan/26,02/Jun/26,16/Feb/25,2,Apollo-53,Low,"UI,Backend,Performance","Analytics,Authentication",Nebula-1017,In Progress,1,0,15,13,0,1,0,1,12/Dec/24,23/Apr/26
Epic,Remove login layout,Orion,v5.4,Delta Force,Jordan Blake,Jordan Blake,Sprint 11,07/Jan/25,12/Mar/25,25/Jun/24,2,,Critical,Backend,Analytics,Apollo-1026,Blocked,4,0,15,5,2,0,2,4,08/May/25,09/Jul/24
Epic,Refactor reporting module,Lynx,v1.4,Gamma Crew,Jordan Blake,Taylor Cruz,Sprint 14,24/Oct/25,15/Mar/26,,12,,Low,"Feature,Security",Authentication,Apollo-1028,Blocked,4,0,15,5,2,0,2,4,08/Dec/24,23/May/25
Epic,Add dashboard bug,Lynx,v5.3,Alpha Team,Riley Quinn,Jamie Fox,Sprint 16,22/Jul/25,,19/Feb/25,3,Apollo-105,Low,"Backend,Feature,API",Frontend,Nebula-1030,To Do,7,0,15,4,3,3,1,7,,02/Sep/25
Epic,Remove chat feature,Apollo,v1.8,Zeta Group,Jamie Fox,Riley Quinn,Sprint 17,22/Jul/25,31/Aug/24,12/Apr/25,8,Nebula-56,Medium,"API,Feature","Database,Notifications",Apollo-1046,Done,6,3,12,23,2,1,3,6,04/Sep/24,02/Dec/25
Epic,Fix login feature,Orion,v2.4,Delta Force,Riley Quinn,Alex Hunter,Sprint 25,23/Jan/25,05/Aug/25,19/Oct/25,4,Apollo-25,High,"Feature,Performance",Notifications,Apollo-1048,Done,3,3,12,29,0,2,1,3,29/Jan/26,12/Oct/25
Epic,Remove chat feature,Orion,v5.0,Nova Squad,Taylor Cruz,Jordan Blake,Sprint 27,08/Nov/25,24/Oct/25,29/Jul/25,7,,Medium,"Feature,UI,Performance","Authentication,Database",Nebula-1054,To Do,6,1,14,7,2,1,3,6,25/Apr/25,30/Jan/25
Epic,Add dashboard support,Helix,v2.3,Nova Squad,Jamie Fox,Jamie Fox,Sprint 16,07/Dec/24,06/Aug/24,03/Jul/24,5,Apollo-16,High,"Backend,UI",Frontend,Nebula-1056,To Do,2,0,15,6,0,1,1,2,21/Oct/24,12/Dec/25
Epic,Add reporting support,Helix,v1.6,Nova Squad,Jamie Fox,Jamie Fox,Sprint 29,,05/Aug/24,,5,,Low,Performance,"Database,Frontend",Apollo-1058,In Progress,3,0,15,0,0,1,2,3,13/Dec/24,10/Jul/25
Epic,Add dashboard bug,Lynx,v5.3,Gamma Crew,Riley Quinn,Jordan Blake,Sprint 16,,,02/Jun/26,14,,Medium,"Backend,API","Frontend,Notifications",Nebula-1061,In Progress,4,0,15,14,0,3,1,4,,09/Oct/24
Epic,Add login support,Apollo,v3.1,Delta Force,Riley Quinn,Jamie Fox,Sprint 1,,,16/Feb/25,2,Nebula-107,Critical,UI,Authentication,Apollo-1066,To Do,5,0,15,15,1,1,3,5,10/May/26,10/Sep/25
Epic,Refactor chat support,Lynx,v3.7,Nova Squad,Alex Hunter,Riley Quinn,Sprint 9,,21/Feb/26,05/Feb/26,1,,Critical,Backend,"Database,Notifications",Apollo-1068,Blocked,3,0,15,1,1,1,1,3,22/Apr/25,23/Sep/24
Epic,Add dashboard support,Nebula,v4.0,Gamma Crew,Jamie Fox,Taylor Cruz,Sprint 14,05/Jan/26,11/Jan/25,19/Oct/24,11,Apollo-68,Low,Feature,Notifications,Nebula-1070,In Progress,8,0,15,14,3,3,2,8,26/Aug/25,04/Feb/26
Epic,Update dashboard support,Apollo,v3.2,Alpha Team,Jordan Blake,Riley Quinn,Sprint 29,15/Jul/25,19/Oct/25,19/Jan/26,1,Nebula-59,Medium,UI,"Notifications,Authentication",Apollo-1072,To Do,5,0,15,5,1,3,1,5,,11/Mar/25
Epic,Update reporting feature,Apollo,v3.2,Delta Force,Jordan Blake,Jamie Fox,Sprint 18,11/Aug/25,31/Jul/24,,14,Apollo-66,Critical,"API,UI","Notifications,Analytics",Apollo-1074,Blocked,3,1,14,15,2,0,1,3,15/Apr/26,
Epic,Fix login layout,Nebula,v2.0,Zeta Group,Riley Quinn,Riley Quinn,Sprint 14,15/Oct/25,20/Jan/26,10/Apr/26,3,Nebula-121,Critical,"Backend,Security,UI","Frontend,Authentication",Apollo-1079,To Do,7,1,14,7,2,2,3,7,11/Apr/25,10/Feb/25
Epic,Update theme module,Helix,v4.7,Gamma Crew,Taylor Cruz,Jamie Fox,Sprint 29,20/Aug/24,05/May/25,21/May/25,15,,Low,"API,UI,Backend","Database,Notifications",Apollo-1083,In Progress,5,0,15,23,2,1,2,5,19/Nov/24,
Epic,Update dashboard feature,Lynx,v3.4,Alpha Team,Riley Quinn,Alex Hunter,Sprint 27,26/Jan/26,25/Nov/24,05/Nov/25,11,,Critical,API,Authentication,Apollo-1084,In Progress,7,0,15,7,2,2,3,7,,
Epic,Fix chat module,Nebula,v5.6,Zeta Group,Taylor Cruz,Alex Hunter,Sprint 14,23/Apr/25,06/Jun/26,,2,,Low,"Backend,Performance,Security","Authentication,Analytics",Nebula-1086,Done,1,0,15,5,0,1,0,1,02/Nov/25,
Epic,Add chat support,Orion,v3.2,Zeta Group,Jamie Fox,Jamie Fox,Sprint 10,26/May/26,03/Nov/24,,10,Apollo-7,Medium,"Backend,Feature",Analytics,Nebula-1087,In Progress,3,4,11,56,2,1,0,3,20/Jun/26,26/Jul/24
Epic,Remove login layout,Lynx,v4.7,Nova Squad,Alex Hunter,Jamie Fox,Sprint 14,26/Sep/24,11/Apr/25,18/Nov/25,10,Apollo-53,Critical,"Security,API,Performance","Notifications,Analytics",Apollo-1090,To Do,4,0,15,4,2,0,2,4,,15/Sep/24
Epic,Update dashboard feature,Helix,v2.7,Zeta Group,Jordan Blake,Alex Hunter,Sprint 22,23/May/25,24/Jun/24,07/Mar/25,14,Apollo-80,Medium,API,Database,Apollo-1096,Done,5,10,5,100,1,1,3,5,14/Jan/26,19/Jan/25
Epic,Update reporting module,Helix,v4.0,Alpha Team,Riley Quinn,Jamie Fox,Sprint 26,16/Dec/25,,03/Jul/24,3,Nebula-47,Medium,"API,Performance,Backend",Analytics,Nebula-1006,Blocked,3,1,14,8,1,2,0,3,30/Apr/25,24/Jan/25
Initiative,Remove dashboard bug,Nebula,v4.1,Nova Squad,Jordan Blake,Taylor Cruz,Sprint 10,19/Jul/25,05/Aug/24,11/Dec/24,10,,Medium,"Performance,Feature",Notifications,Apollo-1085,To Do,5,0,15,0,2,2,1,5,25/Feb/25,
Initiative,Update login support,Nebula,v1.4,Delta Force,Alex Hunter,Jordan Blake,Sprint 13,,30/Jun/25,31/Aug/24,11,,Low,"Performance,Feature","Analytics,Notifications",Nebula-1023,To Do,5,1,14,8,1,1,3,5,09/Aug/24,
Epic,Update reporting layout,Lynx,v4.9,Nova Squad,Taylor Cruz,Taylor Cruz,Sprint 22,22/Oct/25,04/Mar/25,14/May/25,7,,Low,Performance,Frontend,Nebula-1000,To Do,6,0,15,2,2,3,1,6,23/Dec/24,14/Oct/24
Initiative,Update login feature,Orion,v5.8,Nova Squad,Jamie Fox,Jordan Blake,Sprint 29,03/Sep/25,,,13,,High,"Backend,Security","Notifications,Frontend",Nebula-1036,Done,2,9,6,100,1,1,0,2,30/Apr/26,
Epic,Refactor login feature,Orion,v4.4,Nova Squad,Taylor Cruz,Jordan Blake,Sprint 27,31/Mar/25,01/Mar/25,12/Jan/26,15,,Medium,Feature,Frontend,Apollo-1099,To Do,3,1,14,9,1,0,2,3,24/Nov/25,17/Mar/26
Epic,Remove theme bug,Apollo,v1.1,Nova Squad,Taylor Cruz,Riley Quinn,Sprint 1,03/Feb/26,16/Mar/25,,7,,Critical,Backend,Analytics,Nebula-1013,To Do,3,0,15,3,1,2,0,3,,14/Mar/26
Epic,Update dashboard feature,Lynx,v1.6,Nova Squad,Alex Hunter,Jordan Blake,Sprint 12,02/Jul/25,28/Oct/24,,9,,Medium,Backend,Authentication,Apollo-1042,To Do,9,0,15,7,3,3,3,9,16/Nov/25,17/Aug/25
Initiative,Refactor dashboard layout,Nebula,v1.3,Zeta Group,Taylor Cruz,Taylor Cruz,Sprint 1,02/Dec/24,14/Jan/25,21/Jun/25,8,,High,"Backend,Performance",Frontend,Nebula-1016,Blocked,4,0,15,1,3,0,1,4,12/Aug/25,06/Aug/25
Initiative,Update reporting bug,Orion,v1.0,Delta Force,Jamie Fox,Jordan Blake,Sprint 5,03/Feb/25,17/Nov/25,,5,Nebula-16,Medium,"UI,Backend","Database,Notifications",Nebula-1073,In Progress,4,2,13,32,0,2,2,4,,09/Dec/24
Epic,Update chat feature,Nebula,v3.2,Nova Squad,Alex Hunter,Riley Quinn,Sprint 6,09/May/25,01/Sep/25,23/Feb/25,3,,Critical,"UI,API,Backend",Authentication,Nebula-1089,Blocked,3,0,15,6,1,0,2,3,31/Jul/24,13/Jun/26
Initiative,Add theme module,Apollo,v2.9,Zeta Group,Jamie Fox,Jamie Fox,Sprint 24,23/May/25,27/Sep/25,,2,,Medium,Backend,"Database,Frontend",Nebula-1039,Done,3,2,13,100,2,1,0,3,25/Dec/25,11/Oct/24
Epic,Update login bug,Lynx,v1.4,Gamma Crew,Jordan Blake,Taylor Cruz,Sprint 29,22/Jan/26,17/May/25,10/Dec/24,11,Apollo-72,Critical,"Security,API,Performance","Database,Frontend",Apollo-1012,Done,4,14,1,100,1,0,3,4,03/Sep/24,20/Feb/25
Initiative,Update reporting module,Nebula,v1.8,Zeta Group,Riley Quinn,Jordan Blake,Sprint 24,20/Oct/25,09/Jan/25,17/Dec/25,8,,Low,Feature,"Authentication,Database",Apollo-1057,To Do,2,0,15,10,0,0,2,2,17/Apr/25,22/Oct/25
Epic,Fix login module,Lynx,v1.4,Delta Force,Jamie Fox,Taylor Cruz,Sprint 3,,20/Nov/24,17/Jan/25,11,Nebula-20,Low,"Performance,API",Authentication,Apollo-1007,Blocked,5,0,15,10,2,3,0,5,16/May/26,
Initiative,Update login feature,Lynx,v1.9,Gamma Crew,Jordan Blake,Riley Quinn,Sprint 23,,01/Oct/24,09/Dec/24,10,Nebula-144,Critical,"Feature,API,UI","Authentication,Database",Apollo-1029,In Progress,4,1,14,38,2,1,1,4,,03/Sep/24
Initiative,Remove chat feature,Lynx,v5.0,Alpha Team,Riley Quinn,Riley Quinn,Sprint 9,01/Mar/26,,,11,,High,Feature,"Frontend,Database",Nebula-1076,To Do,7,0,15,4,2,2,3,7,11/Nov/24,30/Jul/25
Epic,Update theme layout,Orion,v4.4,Alpha Team,Riley Quinn,Riley Quinn,Sprint 1,29/Jul/24,05/Aug/24,10/May/25,10,,Low,"UI,Security","Authentication,Analytics",Nebula-1064,In Progress,5,0,15,19,1,3,1,5,,28/Mar/26
Initiative,Update dashboard feature,Orion,v3.5,Delta Force,Riley Quinn,Taylor Cruz,Sprint 22,28/Mar/26,,01/Feb/25,7,Nebula-145,Medium,"UI,Security,API","Analytics,Authentication",Apollo-1041,In Progress,4,4,11,87,1,0,3,4,11/Aug/24,05/Feb/26
Epic,Update login support,Apollo,v2.9,Gamma Crew,Alex Hunter,Jordan Blake,Sprint 13,10/Mar/26,02/Jul/25,18/Aug/25,13,Apollo-127,Medium,"Backend,UI,Security","Database,Analytics",Nebula-1049,Blocked,2,0,15,3,1,0,1,2,29/Mar/25,05/Apr/25
Initiative,Update dashboard support,Apollo,v2.4,Nova Squad,Riley Quinn,Taylor Cruz,Sprint 30,19/May/25,21/Mar/26,28/Mar/26,15,,Medium,API,"Database,Notifications",Nebula-1095,Blocked,3,1,14,8,0,3,0,3,23/Oct/25,
Epic,Remove login support,Nebula,v3.6,Nova Squad,Taylor Cruz,Alex Hunter,Sprint 27,24/Jun/25,,21/Apr/26,4,Apollo-24,High,"Backend,Security",Analytics,Nebula-1021,Blocked,6,0,15,0,2,3,1,6,22/Sep/24,02/Oct/24
Epic,Add chat layout,Helix,v3.0,Alpha Team,Riley Quinn,Taylor Cruz,Sprint 6,01/Mar/26,02/Sep/24,,8,Apollo-74,Low,"Performance,Security",Authentication,Nebula-1043,To Do,6,0,15,7,3,2,1,6,19/Aug/25,27/Mar/26
Epic,Fix chat support,Lynx,v2.1,Delta Force,Taylor Cruz,Jamie Fox,Sprint 15,,21/Dec/24,28/May/25,11,,Critical,"Security,Feature,Backend","Authentication,Frontend",Nebula-1055,In Progress,6,8,7,69,0,3,3,6,26/Aug/25,23/Aug/24
Initiative,Refactor chat feature,Lynx,v5.5,Alpha Team,Alex Hunter,Jordan Blake,Sprint 15,28/Sep/25,22/Feb/25,16/Jun/26,9,,Critical,"Security,API","Database,Frontend",Apollo-1081,Blocked,4,0,15,0,2,0,2,4,18/Jul/24,
Initiative,Fix theme bug,Apollo,v4.9,Zeta Group,Riley Quinn,Riley Quinn,Sprint 4,,,02/Aug/25,3,Nebula-43,High,"UI,Backend",Frontend,Nebula-1009,To Do,7,1,14,7,1,3,3,7,08/Nov/25,15/Sep/25
Initiative,Refactor login feature,Nebula,v5.1,Alpha Team,Taylor Cruz,Taylor Cruz,Sprint 2,,26/Jul/24,23/Dec/24,10,,Medium,"Backend,Performance",Analytics,Apollo-1075,Blocked,6,0,15,4,2,1,3,6,29/Apr/25,
Epic,Refactor login layout,Apollo,v2.2,Nova Squad,Riley Quinn,Taylor Cruz,Sprint 3,13/May/25,06/Jul/25,06/May/26,10,,Critical,"Performance,Security,UI",Frontend,Apollo-1052,Blocked,6,0,15,0,1,3,2,6,26/Jun/25,
Epic,Update dashboard module,Helix,v3.2,Alpha Team,Jordan Blake,Riley Quinn,Sprint 3,13/Nov/25,20/Aug/24,08/May/26,8,,Low,"Performance,Security,Feature","Authentication,Frontend",Nebula-1038,Done,3,3,12,100,1,0,2,3,05/Oct/25,
Epic,Fix login module,Nebula,v3.5,Zeta Group,Jamie Fox,Riley Quinn,Sprint 2,25/Jan/25,17/May/25,25/Oct/24,8,,Medium,Feature,Notifications,Nebula-1060,In Progress,6,1,14,17,0,3,3,6,28/Dec/24,17/Dec/24
Epic,Fix dashboard feature,Helix,v1.8,Gamma Crew,Jamie Fox,Jordan Blake,Sprint 3,,16/Nov/25,13/Jun/26,12,Apollo-120,Low,"Backend,API",Analytics,Apollo-1063,Done,5,8,7,100,2,0,3,5,,14/Nov/24
Initiative,Add dashboard support,Nebula,v2.1,Nova Squad,Riley Quinn,Alex Hunter,Sprint 10,25/Jun/24,17/May/25,08/Mar/25,11,Nebula-17,Low,"Performance,API","Database,Authentication",Apollo-1024,In Progress,7,2,13,59,2,3,2,7,,
Initiative,Remove dashboard bug,Lynx,v2.5,Alpha Team,Alex Hunter,Jordan Blake,Sprint 23,04/Oct/25,23/Feb/25,27/Feb/25,4,Nebula-36,High,API,Authentication,Apollo-1078,Blocked,3,0,15,4,1,2,0,3,23/Oct/25,
Epic,Fix login bug,Nebula,v3.5,Zeta Group,Jamie Fox,Alex Hunter,Sprint 3,27/Mar/25,06/Apr/25,,6,,High,"UI,Performance",Frontend,Nebula-1033,In Progress,8,2,13,44,3,3,2,8,29/Jan/25,16/Jan/25
Initiative,Remove dashboard support,Apollo,v3.9,Delta Force,Riley Quinn,Alex Hunter,Sprint 27,16/Jan/25,11/May/25,30/Sep/25,12,,Low,"Security,API,UI","Frontend,Database",Apollo-1050,Done,5,3,12,100,2,2,1,5,15/May/25,08/Jul/25
Epic,Refactor login feature,Apollo,v2.8,Gamma Crew,Jordan Blake,Jordan Blake,Sprint 27,22/Nov/24,,,6,,High,"API,Security,Backend","Analytics,Notifications",Nebula-1018,Blocked,1,0,15,2,1,0,0,1,01/May/25,19/Jul/24
Initiative,Remove dashboard bug,Helix,v3.3,Nova Squad,Taylor Cruz,Jordan Blake,Sprint 26,,,17/Jan/26,8,Apollo-104,Critical,"UI,Security,Feature",Database,Apollo-1069,Done,3,6,9,100,1,2,0,3,02/Jan/26,23/Feb/26
Epic,Remove dashboard layout,Lynx,v4.4,Alpha Team,Taylor Cruz,Jordan Blake,Sprint 23,15/May/25,16/Apr/25,,10,,High,"Backend,UI",Authentication,Apollo-1005,To Do,5,0,15,2,3,2,0,5,,25/Feb/26
Initiative,Remove dashboard support,Apollo,v1.4,Zeta Group,Riley Quinn,Riley Quinn,Sprint 16,,,26/Mar/26,11,Apollo-37,Low,"Backend,Security","Frontend,Analytics",Apollo-1022,In Progress,5,1,14,16,2,1,2,5,28/Apr/25,14/Nov/24
Initiative,Add dashboard bug,Orion,v2.5,Nova Squad,Alex Hunter,Jordan Blake,Sprint 17,14/Jun/25,04/May/25,,13,Nebula-82,Critical,Feature,Authentication,Nebula-1047,Done,0,14,1,100,0,0,0,0,19/Mar/26,08/Aug/25
Initiative,Fix chat bug,Apollo,v5.8,Zeta Group,Taylor Cruz,Alex Hunter,Sprint 10,02/Jan/25,,24/Mar/25,2,,Medium,"Feature,UI,Security",Authentication,Apollo-1010,In Progress,5,0,15,52,1,3,1,5,07/Sep/25,19/Nov/25
Epic,Fix login feature,Lynx,v3.5,Zeta Group,Riley Quinn,Alex Hunter,Sprint 11,24/Aug/25,06/Apr/26,24/Nov/25,2,,High,API,Notifications,Apollo-1077,In Progress,1,3,12,69,1,0,0,1,20/Jul/25,15/Oct/25
Epic,Remove login layout,Orion,v3.5,Delta Force,Taylor Cruz,Jamie Fox,Sprint 17,14/Jan/26,14/Sep/24,21/Jul/25,3,,Low,"Performance,UI","Analytics,Frontend",Nebula-1008,Blocked,5,0,15,1,1,3,1,5,,
Initiative,Remove reporting feature,Helix,v1.6,Nova Squad,Alex Hunter,Riley Quinn,Sprint 19,,,,1,Nebula-40,Medium,Security,Analytics,Nebula-1044,In Progress,8,1,14,79,2,3,3,8,22/Jan/25,04/Aug/24
Epic,Fix dashboard layout,Orion,v3.5,Gamma Crew,Alex Hunter,Riley Quinn,Sprint 28,05/Dec/25,27/Jul/24,19/Aug/25,12,,Critical,API,Frontend,Apollo-1092,In Progress,4,0,15,63,1,3,0,4,06/Nov/24,08/Mar/26
Initiative,Refactor dashboard bug,Apollo,v3.7,Delta Force,Taylor Cruz,Taylor Cruz,Sprint 17,12/Oct/24,13/Feb/25,15/Apr/26,4,Nebula-51,Low,"Performance,UI","Notifications,Database",Nebula-1071,In Progress,3,7,8,53,2,0,1,3,,04/Dec/24
Initiative,Refactor login bug,Nebula,v5.4,Alpha Team,Taylor Cruz,Jordan Blake,Sprint 27,16/Sep/24,30/Nov/24,21/Jan/25,3,,High,"Feature,API,Backend",Database,Nebula-1059,In Progress,6,4,11,65,2,3,1,6,06/May/26,17/Sep/24
Initiative,Remove reporting feature,Orion,v3.7,Delta Force,Riley Quinn,Jordan Blake,Sprint 13,25/Jul/25,05/Apr/25,15/Mar/25,5,,Low,"Backend,Performance,Security","Analytics,Frontend",Apollo-1098,Blocked,5,0,15,0,0,2,3,5,30/Sep/25,
Initiative,Remove chat module,Nebula,v2.3,Delta Force,Jordan Blake,Taylor Cruz,Sprint 13,07/Apr/25,,24/Jun/24,2,,Medium,"API,Backend","Notifications,Analytics",Nebula-1020,Blocked,3,1,14,8,3,0,0,3,,11/Aug/24
Initiative,Remove theme feature,Helix,v4.1,Zeta Group,Alex Hunter,Jordan Blake,Sprint 22,05/Jun/26,29/Aug/24,19/Jul/24,6,Nebula-62,High,Backend,"Database,Analytics",Nebula-1035,Blocked,9,0,15,2,3,3,3,9,09/Sep/25,05/Apr/25
Initiative,Refactor dashboard support,Apollo,v2.4,Delta Force,Riley Quinn,Riley Quinn,Sprint 24,20/Jun/25,20/Apr/25,31/Oct/24,15,,Low,Performance,Analytics,Apollo-1051,To Do,6,0,15,7,2,1,3,6,09/May/26,
Initiative,Remove reporting module,Lynx,v4.6,Alpha Team,Alex Hunter,Alex Hunter,Sprint 12,05/Feb/26,30/Jul/25,06/Jan/25,8,,High,Feature,Notifications,Nebula-1034,Done,4,7,8,100,1,2,1,4,16/Jun/26,01/May/26
Epic,Refactor reporting feature,Orion,v2.4,Nova Squad,Jordan Blake,Jamie Fox,Sprint 23,15/Jan/25,,30/Jun/24,3,Nebula-66,Medium,"Backend,Security,Feature","Notifications,Frontend",Apollo-1062,Done,5,13,2,100,3,1,1,5,25/May/26,
Initiative,Update reporting layout,Helix,v2.7,Alpha Team,Alex Hunter,Taylor Cruz,Sprint 29,29/Sep/25,19/Nov/24,10/Dec/25,7,,Low,"Performance,Security",Notifications,Apollo-1032,In Progress,2,4,11,35,1,1,0,2,29/Jul/24,19/Sep/25
Initiative,Remove theme module,Lynx,v2.3,Gamma Crew,Taylor Cruz,Jordan Blake,Sprint 1,27/Jan/26,31/Mar/25,14/Nov/25,12,,High,Performance,"Database,Notifications",Nebula-1082,In Progress,7,2,13,64,1,3,3,7,20/Jul/25,
Epic,Update login module,Apollo,v5.4,Zeta Group,Jordan Blake,Taylor Cruz,Sprint 20,31/Aug/24,,03/Mar/25,10,,Medium,Backend,"Frontend,Authentication",Apollo-1091,Blocked,4,0,15,10,3,1,0,4,15/Jul/24,08/Dec/25
Epic,Remove chat module,Lynx,v4.7,Alpha Team,Jamie Fox,Jordan Blake,Sprint 20,01/Jun/26,09/Aug/24,,2,,Low,"Performance,UI","Notifications,Analytics",Apollo-1014,Done,7,2,13,100,2,3,2,7,04/Sep/25,
Initiative,Fix dashboard support,Helix,v4.9,Zeta Group,Taylor Cruz,Alex Hunter,Sprint 17,09/May/25,06/Jul/24,16/Jun/25,1,Nebula-20,Medium,"Feature,API,UI",Database,Nebula-1040,Blocked,4,0,15,7,3,0,1,4,31/May/26,27/May/26
Epic,Update reporting module,Apollo,v4.0,Zeta Group,Riley Quinn,Taylor Cruz,Sprint 25,04/Feb/26,02/Oct/24,03/Sep/24,15,,High,"Performance,Feature",Database,Apollo-1094,In Progress,4,0,15,66,3,0,1,4,01/Nov/24,12/Mar/25
Initiative,Fix reporting feature,Helix,v3.3,Nova Squad,Jordan Blake,Jamie Fox,Sprint 19,13/Sep/25,04/Mar/26,30/Jan/26,5,Nebula-19,Critical,"API,Backend",Frontend,Nebula-1088,Blocked,6,0,15,6,3,1,2,6,19/Dec/24,03/Oct/24
Initiative,Update login feature,Orion,v2.3,Alpha Team,Riley Quinn,Jordan Blake,Sprint 26,,11/Jan/26,,6,,Medium,"Security,API","Frontend,Authentication",Nebula-1045,To Do,4,0,15,4,3,1,0,4,13/Sep/24,12/Jan/25
Epic,Fix reporting module,Helix,v3.6,Nova Squad,Jordan Blake,Jamie Fox,Sprint 11,02/Mar/26,02/Jul/25,04/Apr/25,4,,Critical,"Feature,UI","Notifications,Database",Apollo-1037,Blocked,7,0,15,8,2,2,3,7,13/Aug/24,
Epic,Update reporting layout,Apollo,v3.5,Gamma Crew,Riley Quinn,Alex Hunter,Sprint 12,20/Oct/24,18/Feb/25,12/Aug/25,13,,High,API,Frontend,Nebula-1053,Done,7,0,15,100,1,3,3,7,09/May/26,
Epic,Refactor dashboard module,Orion,v4.6,Delta Force,Jamie Fox,Riley Quinn,Sprint 11,07/Dec/25,23/Aug/24,16/Feb/25,5,,Low,"Security,API",Frontend,Apollo-1093,Done,3,7,8,100,0,0,3,3,,29/Aug/25
Initiative,Remove login module,Lynx,v2.8,Delta Force,Jordan Blake,Alex Hunter,Sprint 17,14/Jul/24,25/Aug/25,07/Sep/25,9,,High,"Feature,API,Performance","Notifications,Frontend",Apollo-1003,To Do,4,0,15,0,3,0,1,4,23/Apr/26,06/Oct/24
Epic,Remove dashboard module,Nebula,v2.0,Alpha Team,Jamie Fox,Taylor Cruz,Sprint 27,26/May/26,11/Jun/26,25/Jul/24,8,Apollo-131,Critical,"Security,Backend",Authentication,Nebula-1067,Done,4,6,9,100,1,0,3,4,,23/Aug/24
Initiative,Update dashboard feature,Lynx,v4.1,Alpha Team,Alex Hunter,Jordan Blake,Sprint 13,29/May/25,,15/May/26,10,Apollo-122,High,Performance,"Frontend,Authentication",Apollo-1027,Blocked,7,0,15,1,2,3,2,7,23/Nov/25,07/Jul/24
Epic,Fix login bug,Lynx,v3.9,Delta Force,Taylor Cruz,Jordan Blake,Sprint 24,16/May/25,23/Jul/24,30/Sep/24,2,,High,"Security,Backend,Feature","Notifications,Authentication",Nebula-1004,To Do,3,0,15,4,2,0,1,3,28/Feb/25,20/Jan/26
Epic,Remove dashboard layout,Lynx,v5.0,Gamma Crew,Alex Hunter,Taylor Cruz,Sprint 17,10/Feb/25,19/Mar/26,30/May/25,7,,High,"API,UI,Security","Notifications,Authentication",Apollo-1031,To Do,7,0,15,4,1,3,3,7,20/Nov/25,06/Oct/25
Epic,Add reporting support,Lynx,v5.4,Zeta Group,Alex Hunter,Jordan Blake,Sprint 12,30/Jan/26,23/Sep/25,,2,,Low,"Security,API,UI","Authentication,Notifications",Apollo-1025,Done,4,4,11,100,0,2,2,4,12/Jun/25,
Initiative,Fix chat bug,Lynx,v4.2,Zeta Group,Jordan Blake,Alex Hunter,Sprint 4,02/Apr/25,15/Sep/25,,3,,High,"UI,Performance","Frontend,Analytics",Nebula-1080,In Progress,1,1,14,71,0,0,1,1,24/Jan/25,09/Oct/25
Epic,Remove chat feature,Orion,v5.0,Nova Squad,Alex Hunter,Riley Quinn,Sprint 3,25/Aug/24,11/May/26,12/Feb/25,11,,Low,Performance,Database,Apollo-1097,In Progress,6,1,14,13,3,1,2,6,10/Apr/25,
Epic,Fix theme layout,Helix,v5.2,Gamma Crew,Riley Quinn,Riley Quinn,Sprint 28,11/Jul/24,27/Jan/25,14/Apr/26,11,Nebula-146,Critical,"UI,Backend,Feature","Analytics,Database",Apollo-1019,In Progress,7,6,9,45,3,3,1,7,,
Initiative,Fix chat bug,Orion,v5.0,Nova Squad,Alex Hunter,Alex Hunter,Sprint 13,02/Jan/26,,04/Aug/24,6,Nebula-113,Low,"Performance,Security","Analytics,Notifications",Nebula-1065,To Do,4,0,15,10,3,0,1,4,27/Mar/26,16/Aug/24